code,titre,code UA
T.151.111,Installer et configurer Git sur son ordinateur,UA.151.11
T.151.112,Comprendre les concepts de base : Git et GitHub,UA.151.11
T.151.113,Sauvegarder son code en un clic avec VS Code,UA.151.11
T.151.121,Les 3 zones de Git expliquées simplement,UA.151.12
T.151.122,La routine locale du développeur (Terminal),UA.151.12
T.151.131,Partager son travail sur Internet avec git push,UA.151.13
T.151.132,Mettre à jour son ordinateur avec git pull,UA.151.13
T.151.141,Créer et configurer un fichier .gitignore,UA.151.14
T.151.142,Les règles de sécurité avant de valider un commit,UA.151.14
T.151.151,Lire l'historique du projet avec git log,UA.151.15
T.151.152,Réparer une erreur avant la sauvegarde avec git restore,UA.151.15
