"ordre","unite_apprentissage_reference","session_formation_reference","description","reference"
"1","DWB-UA.161.11","DWB-S1","","DWB-S1-DWB-UA.161.11"
"2","DWB-UA.161.12","DWB-S1","","DWB-S1-DWB-UA.161.12"
"3","DWB-UA.161.13","DWB-S1","","DWB-S1-DWB-UA.161.13"
"4","DWB-UA.161.14","DWB-S1","","DWB-S1-DWB-UA.161.14"
"5","DWB-UA.162.11","DWB-S1","","DWB-S1-DWB-UA.162.11"
"6","DWB-UA.111.11","DWB-S1","","DWB-S1-DWB-UA.111.11"
"7","DWB-UA.112.11","DWB-S1","","DWB-S1-DWB-UA.112.11"
"8","DWB-UA.121.11","DWB-S1","","DWB-S1-DWB-UA.121.11"
"9","DWB-UA.111.12","DWB-S2","","DWB-S2-DWB-UA.111.12"
"10","DWB-UA.112.12","DWB-S2","","DWB-S2-DWB-UA.112.12"
"11","DWB-UA.121.12","DWB-S2","","DWB-S2-DWB-UA.121.12"
"12","DWB-UA.151.11","DWB-S2","","DWB-S2-DWB-UA.151.11"
"13","DWB-UA.122.11","DWB-S2","","DWB-S2-DWB-UA.122.11"
"14","DWB-UA.122.21","DWB-S2","","DWB-S2-DWB-UA.122.21"
