"ordre","code","nom","unite_apprentissage_reference","duree_en_heure","isOfficiel","lien","description","formateur_reference","reference","is_imitation_ua"
"","T.162.111","Comment apprendre à Solicode ?","DWB-UA.162.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/apprendre-%C3%A0-solicode/","","","DWB-T.162.111","0"
"0","T.122.110","Installation de Visual Studio Code","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/installation-visual-studio-code/","","","DWB-T.122.110","0"
"1","T.111.121","Repérer les actions du Visiteur","DWB-UA.111.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/reperer-les-actions-du-visiteur/","","","DWB-T.111.121","0"
"1","T.161.131","Découvrir les langages du Web","DWB-UA.161.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/langages-du-web/","","","DWB-T.161.131","0"
"1","T.111.131","Repérer les actions de l'Administrateur","DWB-UA.111.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/reperer-les-actions-de-l-administrateur/","","","DWB-T.111.131","0"
"1","T.161.121","Découvrir le Web et Internet","DWB-UA.161.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/web-internet/","","","DWB-T.161.121","0"
"1","T.112.111","Distinguer information, donnée et valeur","DWB-UA.112.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/distinguer-information-donnee-valeur/","","","DWB-T.112.111","0"
"1","T.161.111","Découvrir Google Slides et le partage","DWB-UA.161.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/partage-google-slides/","","","DWB-T.161.111","0"
"1","T.161.141","Découvrir le métier de développeur","DWB-UA.161.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/m%C3%A9tier-d%C3%A9veloppeur/","","","DWB-T.161.141","0"
"1","T.151.141","Créer et configurer un fichier .gitignore","DWB-UA.151.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/creer-gitignore/","","","DWB-T.151.141","0"
"1","T.151.131","Partager son travail sur Internet avec git push","DWB-UA.151.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/partager-github/","","","DWB-T.151.131","0"
"1","T.151.121","Les 3 zones de Git expliquées simplement","DWB-UA.151.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/3-zones-git/","","","DWB-T.151.121","0"
"1","T.151.111","Installer et configurer Git sur son ordinateur","DWB-UA.151.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/installer-git/","","","DWB-T.151.111","0"
"1","T.125.211","Déboguer avec VS Code","DWB-UA.125.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/deboguer-javascript-vscode/","","","DWB-T.125.211","0"
"1","T.122.211","Syntaxe CSS","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/syntaxe-css/","","","DWB-T.122.211","0"
"1","T.122.111","Structure d’un document HTML","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/structure-document-html/","","","DWB-T.122.111","0"
"1","T.151.151","Lire l'historique du projet avec git log","DWB-UA.151.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/historique-log/","","","DWB-T.151.151","0"
"1","T.121.161","Comprendre l'ordre et le tri","DWB-UA.121.16","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/comprendre-ordre-tri/","","","DWB-T.121.161","0"
"1","T.111.111","Comprendre le contexte et les espaces d'un Blog","DWB-UA.111.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/comprendre-le-contexte-et-les-espaces-d-un-blog/","","","DWB-T.111.111","0"
"1","T.121.111","Afficher son nom avec JavaScript","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/variables-entr%C3%A9es-sorties/","","","DWB-T.121.111","0"
"1","T.121.141","Comprendre les fonctions","DWB-UA.121.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/comprendre-fonctions/","","","DWB-T.121.141","0"
"1","T.121.131","Comprendre les tableaux","DWB-UA.121.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/comprendre-tableaux/","","","DWB-T.121.131","0"
"1","T.121.121","Comprendre les expressions booléennes","DWB-UA.121.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/comprendre-expressions-booleennes/","","","DWB-T.121.121","0"
"2","T.151.152","Réparer une erreur avant le commit avec git restore","DWB-UA.151.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/reparer-restore/","","","DWB-T.151.152","0"
"2","T.111.112","Identifier les acteurs du Blog","DWB-UA.111.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/identifier-les-acteurs-du-blog/","","","DWB-T.111.112","0"
"2","T.151.132","Mettre à jour son ordinateur avec git pull","DWB-UA.151.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/mettre-a-jour-pull/","","","DWB-T.151.132","0"
"2","T.121.122","Construire des conditions","DWB-UA.121.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-conditions/","","","DWB-T.121.122","0"
"2","T.151.122","La routine locale du développeur (Terminal)","DWB-UA.151.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/routine-locale/","","","DWB-T.151.122","0"
"2","T.121.172","Définir les entrées et sorties des traitements","DWB-UA.121.17","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/definir-entrees-sorties-traitements/","","","DWB-T.121.172","0"
"2","T.151.142","Les règles de sécurité avant de valider un commit","DWB-UA.151.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/securite-commit/","","","DWB-T.151.142","0"
"2","T.111.122","Formaliser les fonctionnalités du Visiteur","DWB-UA.111.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/formaliser-les-fonctionnalites-du-visiteur/","","","DWB-T.111.122","0"
"2","T.121.152","Identifier les données et les règles","DWB-UA.121.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/identifier-donnees-regles/","","","DWB-T.121.152","0"
"2","T.121.132","Accéder et modifier les éléments d'un tableau","DWB-UA.121.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/acceder-modifier-elements-tableau/","","","DWB-T.121.132","0"
"2","T.112.121","Identifier les données à conserver","DWB-UA.112.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/identifier-donnees-a-conserver/","","","DWB-T.112.121","0"
"2","T.151.112","Comprendre les concepts de base : Git et GitHub","DWB-UA.151.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/concepts-base-git-github/","","","DWB-T.151.112","0"
"2","T.122.212","Liaison HTML–CSS","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/liaison-html-css/","","","DWB-T.122.212","0"
"2","T.111.132","Formaliser les fonctionnalités de l'Administrateur","DWB-UA.111.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/formaliser-les-fonctionnalites-de-l-administrateur/","","","DWB-T.111.132","0"
"2","T.121.112","Manipuler les variables","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/manipuler-variables/","","","DWB-T.121.112","0"
"2","T.121.142","Créer et appeler une fonction","DWB-UA.121.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/creer-appeler-fonction/","","","DWB-T.121.142","0"
"2","T.122.112","Balise, élément et attribut HTML","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/balise-element-attribut-html/","","","DWB-T.122.112","0"
"3","T.122.113","Informations et textes HTML","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/informations-textes-html/","","","DWB-T.122.113","0"
"3","T.121.123","Construire des boucles","DWB-UA.121.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-boucles/","","","DWB-T.121.123","0"
"3","T.121.133","Parcourir et traiter un tableau","DWB-UA.121.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/parcourir-traiter-tableau/","","","DWB-T.121.133","0"
"3","T.121.113","Effectuer des opérations","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/effectuer-operations","","","DWB-T.121.113","0"
"3","T.121.153","Construire une solution simple","DWB-UA.121.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-solution-simple/","","","DWB-T.121.153","0"
"3","T.121.173","Construire les sous-traitements","DWB-UA.121.17","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-sous-traitements/","","","DWB-T.121.173","0"
"3","T.151.113","Sauvegarder son code en un clic avec VS Code","DWB-UA.151.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/sauvegarder-vs-code/","","","DWB-T.151.113","0"
"3","T.112.122","Identifier et décrire les données d'une maquette","DWB-UA.112.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/identifier-decrire-donnees-maquette/","","","DWB-T.112.122","0"
"3","T.122.213","Sélecteurs","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/selecteurs/","","","DWB-T.122.213","0"
"3","T.121.143","Utiliser les paramètres et le retour","DWB-UA.121.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/utiliser-parametres-retour/","","","DWB-T.121.143","0"
"4","T.122.214","Texte & Couleurs","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/texte-couleurs/","","","DWB-T.122.214","0"
"4","T.112.123","Construire le dictionnaire de données","DWB-UA.112.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-dictionnaire-donnees/","","","DWB-T.112.123","0"
"4","T.121.124","Exercices sur les conditions","DWB-UA.121.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercices-conditions/","","","DWB-T.121.124","0"
"4","T.121.154","Exercices de résolution algorithmique","DWB-UA.121.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercices-resolution-algorithmique/","","","DWB-T.121.154","0"
"4","T.121.174","Exercices de décomposition","DWB-UA.121.17","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercices-decomposition/","","","DWB-T.121.174","0"
"4","T.121.134","Exercices sur les tableaux","DWB-UA.121.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercices-tableaux/","","","DWB-T.121.134","0"
"4","T.121.114","Recevoir des données","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/recevoir-donnees/","","","DWB-T.121.114","0"
"4","T.122.114","Conteneurs et listes HTML","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/conteneurs-listes-html/","","","DWB-T.122.114","0"
"4","T.121.144","Exercices sur les fonctions","DWB-UA.121.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercices-fonctions/","","","DWB-T.121.144","0"
"4","T.121.164","Construire le tri par sélection","DWB-UA.121.16","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-tri-selection/","","","DWB-T.121.164","0"
"5","T.112.131","Observer les occurrences et repérer les répétitions","DWB-UA.112.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/observer-occurrences-reperer-repetitions/normal","","","DWB-T.112.131","0"
