"ordre","code","nom","unite_apprentissage_reference","duree_en_heure","isOfficiel","lien","description","formateur_reference","reference","is_imitation_ua"
"1","T.111.111","Identifier le contexte et les acteurs","DWB-UA.111.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/identifier-contexte-acteurs/","<p>Comprendre une application à partir de ses maquettes et identifier sa finalité, son périmètre et ses acteurs.</p><p>Prérequis : Les maquettes du Blog personnel sont nécessaires.</p>",,"DWB-T.111.11","0"
"1","T.112.111","Rôle des données dans une application","DWB-UA.112.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/r%C3%B4le-donn%C3%A9es/","Comprendre la différence entre information et donnée, et comprendre pourquoi une application utilise des données pour réaliser une fonctionnalité.",,"DWB-T.112.11","0"
"1","T.121.111","Afficher son nom avec JavaScript","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/variables-entr%C3%A9es-sorties/","Découvrir JavaScript et Node.js, puis créer et exécuter un programme qui affiche votre nom dans la console.",,"DWB-T.121.11","0"
"1","T.161.11","Découvrir Google Slides et le partage","DWB-UA.161.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/partage-google-slides/","Créer une présentation d’une slide pour présenter son profil, puis la partager avec un lien afin que d’autres personnes puissent la consulter.",,"DWB-T.161.11","0"
"1","T.162.111","Comment apprendre à Solicode ?","DWB-UA.162.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/apprendre-%C3%A0-solicode/",,,"DWB-T.162.111","0"
"2","T.161.121","Découvrir le Web et Internet","DWB-UA.161.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/web-internet/","Comprendre Internet, le Web, le navigateur, le site Web et l’application Web.",,"DWB-T.161.12","0"
"2","T.121.112","Manipuler les variables","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/manipuler-variables/","Comprendre ce qu’est une variable et l’utiliser pour stocker et afficher des valeurs en JavaScript.",,"DWB-T.121.112","0"
"3","T.161.131","Découvrir les langages du Web","DWB-UA.161.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/langages-du-web/",,,"DWB-T.161.13","0"
"3","T.121.113","Effectuer des opérations","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/effectuer-operations","Utiliser les opérations arithmétiques en JavaScript pour calculer un résultat avec des variables.",,"DWB-T.121.113","0"
"4","T.161.141","Découvrir le métier de développeur","DWB-UA.161.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/m%C3%A9tier-d%C3%A9veloppeur/",,,"DWB-T.161.14","0"
"4","T.121.114","Recevoir des données","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/recevoir-donnees/",,,"DWB-T.121.114","0"
"5","T.121.115","Exercice : gérer un article","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercice-gerer-article/",,,"DWB-T.121.115","0"
"6","T.121.116","Échanger deux variables","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/echanger-deux-variables","Découvrir une première technique algorithmique en JavaScript : échanger les valeurs de deux variables sans les perdre.",,"DWB-T.121.116","0"
