"ordre","code","nom","micro_competence_reference","lien","description","reference"
"","UA.121.16","Trier une collection","DWB-D.121.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-121-16/","Construire un traitement permettant d'ordonner les éléments d'une collection  selon une règle donnée.","DWB-UA.121.16"
"","UA.111.12","Définir les fonctionnalités de la partie publique","DWB-D.111.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-111-12/","Analyser le parcours utilisateur du Visiteur sur l'espace public du Blog pour identifier et  définir l'ensemble de ses fonctionnalités selon une règle de nommage standardisée.","DWB-UA.111.12"
"","UA.111.13","Définir les fonctionnalités de l'administration","DWB-D.111.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-111-13/","Analyser le parcours utilisateur de l'Administrateur sur l'espace de gestion du Blog pour  identifier et définir l'ensemble de ses fonctionnalités (CRUD) selon une règle de nommage standardisée.","DWB-UA.111.13"
"","UA.151.15","Explorer l'historique et annuler des erreurs simples","DWB-D.151.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-151-15/","Apprendre à naviguer dans l'historique d'un projet Git et à utiliser les commandes de restauration pour annuler des modifications récentes non validées.","DWB-UA.151.15"
"","UA.112.12","Construire le dictionnaire de données","DWB-D.112.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-112-12/","Décrire précisément chaque donnée identifiée et regrouper ces descriptions dans un dictionnaire de données complet et cohérent.","DWB-UA.112.12"
"","UA.112.13","Découvrir les dépendances et construire les entités","DWB-D.112.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-112-13/","Regrouper les données du dictionnaire par réalités métier en observant les répétitions de valeurs, afin de construire les entités du modèle.","DWB-UA.112.13"
"","UA.112.14","Déterminer les relations et construire le MCD","DWB-D.112.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-112-14/","Relier les entités entre elles en définissant des règles de gestion et produire le Modèle Conceptuel de Données (MCD) global de l'application.","DWB-UA.112.14"
"","UA.112.15","Construire le MLD","DWB-D.112.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-112-15/","Traduire le modèle conceptuel (MCD) en modèle logique (MLD) prêt à être implémenté dans une base de données relationnelle.","DWB-UA.112.15"
"","UA.151.14","Sécuriser son projet et ignorer l'inutile","DWB-D.151.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-151-14/","Mettre en place de bonnes pratiques de sécurité en excluant les éléments indésirables du contrôle de version avant tout commit.","DWB-UA.151.14"
"","UA.121.12","Contrôler l'exécution avec les conditions et les boucles","DWB-D.121.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-121-12/","Construire un traitement JavaScript capable de prendre des décisions et  de répéter des opérations selon des règles définies.","DWB-UA.121.12"
"","UA.121.13","Manipuler les tableaux et collections","DWB-D.121.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-121-13/","Construire des traitements JavaScript permettant de stocker, parcourir  et analyser une collection de valeurs.","DWB-UA.121.13"
"","UA.121.14","Créer et utiliser des fonctions","DWB-D.121.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-121-14/","Construire et utiliser des fonctions JavaScript simples afin d'isoler,  réutiliser et combiner des traitements.","DWB-UA.121.14"
"","UA.121.15","Résoudre des problèmes algorithmiques simples","DWB-D.121.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-121-15/","Construire des traitements JavaScript combinant plusieurs notions déjà  maîtrisées afin de résoudre un problème algorithmique simple.","DWB-UA.121.15"
"","UA.151.12","Sauvegarder son travail localement (Ligne de commande)","DWB-D.151.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-151-12/","Appréhender le cycle de vie des fichiers sous Git (Working Directory, Staging Area, Repository) et réaliser des sauvegardes locales avec les commandes de base.","DWB-UA.151.12"
"","UA.121.17","Combiner plusieurs traitements","DWB-D.121.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-121-17/","Construire un traitement complet en décomposant un problème en plusieurs  traitements élémentaires, puis en organisant et en chaînant leurs résultats.","DWB-UA.121.17"
"","UA.122.11","Construire la structure de base d’une page HTML","DWB-D.122.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-122-11/","","DWB-UA.122.11"
"","UA.122.21","Comprendre et appliquer les bases de CSS","DWB-D.122.2","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-122-21/","Apprendre la syntaxe CSS et les principaux mécanismes de mise en forme. Apprendre à lier une feuille CSS à un document HTML, à sélectionner les éléments avec les sélecteurs de base et à appliquer des propriétés CSS pour contrôler les textes, les couleurs, les arrière-plans, les images, les dimensions, les espacements, les bordures et l’affichage.","DWB-UA.122.21"
"","UA.151.11","Préparer l'environnement et déposer son premier travail avec VS Code","DWB-D.151.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-151-11/","Préparer son environnement de développement en installant Git et en configurant VS Code pour réaliser son premier dépôt.","DWB-UA.151.11"
"","UA.151.13","Synchroniser son travail avec GitHub","DWB-D.151.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-151-13/","Connecter un dépôt local à un dépôt distant et maitriser les mécanismes d'envoi et de réception des modifications réseau.","DWB-UA.151.13"
"1","UA.162.11","Apprendre à Solicode","DWB-D.162.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-162-11/","Découvrir le parcours d'apprentissage basé sur la pratique, l'expérimentation  et la construction progressive (Tutoriels, Labs, Prototypes, Projet Fil Rouge  et Présentation) pour devenir un apprenant acteur de sa formation.","DWB-UA.162.11"
"2","UA.161.11","Partager un document Google Docs","DWB-D.161.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-161-11/","Apprendre à utiliser les outils collaboratifs en créant un document simple et en gérant ses paramètres de partage pour le rendre accessible via un lien.","DWB-UA.161.11"
"3","UA.161.12","Découvrir Web et Internet","DWB-D.161.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-161-12/","S'initier aux principes fondamentaux du réseau Internet et du World Wide Web,  comprendre leur fonctionnement global (client/serveur) et identifier les  technologies de base qui les font fonctionner.","DWB-UA.161.12"
"4","UA.161.13","Découvrir les langages du Web","DWB-D.161.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-161-13/","S'initier aux technologies de développement Web front-end, identifier à quoi  sert chaque langage et comment ils interagissent pour créer une page Web  fonctionnelle et interactive.","DWB-UA.161.13"
